,rea_ratio_score,rea_score,imf_score,adg_score,weight,Name,DOB,Days_Old,Weight,ADG,REA,REA_per_100,Backfat,%IMF,Scrotal,scrotal_cm_per_day,Meas_Date,bull_score,Class,Meas_Year
128,14,15,21,12,11,Kesabe's Homebrew (D),2021-10-26,454.0,870.0,1.81,11.71,1.35,0.17,3.56,33.0,0.07,2023-01-23,62,Senior Bull Calf,2023
129,6,19,7,24,22,Spring Creek General (D),2018-11-12,434.0,1060.0,2.33,12.97,1.22,0.29,2.61,41.0,0.09,2020-01-20,56,Senior Bull Calf,2020
130,20,9,17,10,5,"HHH Black Kanyon (PV,D)",2021-12-22,397.0,742.0,1.74,11.18,1.51,0.17,3.37,31.0,0.08,2023-01-23,56,Senior Bull Calf,2023
131,12,18,12,11,14,TJH Big Chungus (D),2022-09-10,499.0,918.0,1.74,12.19,1.33,0.21,3.1,36.0,0.07,2024-01-22,53,Senior Bull Calf,2024
132,10,16,3,21,16,Silva's Sugar Daddy (D),2021-11-18,431.0,950.0,2.09,11.99,1.26,0.1,2.29,31.0,0.07,2023-01-23,50,Senior Bull Calf,2023
133,9,11,10,18,13,"Kesabe's Moonshine Road (PV,D)",2023-11-09,441.0,913.0,1.96,11.43,1.25,0.19,2.76,33.0,0.06,2025-01-23,48,Senior Bull Calf,2025
134,5,13,15,14,17,CBS Red Alert (D),2022-09-18,491.0,959.0,1.85,11.67,1.22,0.14,3.24,33.0,0.07,2024-01-22,47,Senior Bull Calf,2024
135,22,12,4,6,3,Kesabe's Hot Tamale (D),2022-11-14,434.0,715.0,1.53,11.53,1.61,0.11,2.35,36.0,0.08,2024-01-22,44,Senior Bull Calf,2024
136,16,14,5,8,10,"TC Murdach (AI,D)",2023-10-02,479.0,836.0,1.64,11.69,1.4,0.15,2.39,38.0,0.03,2025-01-23,43,Senior Bull Calf,2025
137,7,7,20,9,12,"J Bar T's Conan (AI,D)",2016-10-01,478.0,872.0,1.72,10.73,1.23,0.09,3.53,35.0,0.07,2018-01-22,43,Senior Bull Calf,2018
138,2,6,14,19,18,RTH Jefferson (D),2020-10-30,451.0,974.0,2.05,10.64,1.09,0.17,3.22,37.0,0.08,2022-01-24,41,Senior Bull Calf,2022
139,15,8,11,4,8,TJH Paladin (D),2022-09-01,508.0,819.0,1.51,11.02,1.35,0.11,2.95,37.0,0.07,2024-01-22,38,Senior Bull Calf,2024
140,17,5,8,7,2,"Gryphon Epsilon Rampion (PV,D)",2022-11-22,426.0,705.0,1.54,10.19,1.45,0.14,2.62,32.0,0.08,2024-01-22,37,Senior Bull Calf,2024
141,8,4,18,3,6,Magic of Dundonald (D),2022-09-15,494.0,778.0,1.47,9.65,1.24,0.43,3.51,37.0,0.07,2024-01-22,33,Senior Bull Calf,2024
142,3,10,1,16,20,TJH Chunka Loaf (D),2023-09-06,505.0,1013.0,1.91,11.41,1.13,0.18,1.14,34.0,0.06,2025-01-23,30,Senior Bull Calf,2025
143,24,2,2,1,1,Hartman Highland Fergus (D),2018-11-27,419.0,472.0,1.01,8.4,1.78,0.06,2.1,29.0,0.07,2020-01-20,29,Senior Bull Calf,2020
144,1,1,22,5,7,KCC Willie (D),2021-09-25,485.0,785.0,1.52,8.32,1.06,0.15,3.64,35.0,0.07,2023-01-23,29,Senior Bull Calf,2023
145,4,3,16,2,4,"Hercules Dubh AH Ranch (AI,D)",2018-09-30,477.0,740.0,1.45,9.02,1.22,0.41,3.33,35.0,0.07,2020-01-20,25,Senior Bull Calf,2020
146,29,32,27,18,18,Bennachie's MacArthur (D),2014-05-18,613.0,1134.0,1.77,16.54,1.46,0.14,3.62,35.0,0.06,2016-01-21,106,Intermediate Yearling Bull,2016
147,7,33,33,33,33,"Trafalgar Finley (ET,D)",2017-05-02,629.0,1527.0,2.35,17.72,1.16,0.26,4.75,42.5,0.07,2019-01-21,106,Intermediate Yearling Bull,2019
148,28,31,22,22,22,"CSF Rutherford (AI,D)",2016-05-18,614.0,1179.0,1.84,16.54,1.4,0.19,3.47,40.0,0.07,2018-01-22,103,Intermediate Yearling Bull,2018
149,32,28,31,12,13,"Thor Dubh of AH Ranch (AI,D)",2018-06-16,583.0,1042.0,1.7,16.21,1.56,0.09,4.28,36.0,0.06,2020-01-20,103,Intermediate Yearling Bull,2020
150,20,23,28,25,23,Barton of Pine Meadow (D),2018-05-21,609.0,1186.0,1.87,15.68,1.32,0.18,3.73,37.0,0.06,2020-01-20,96,Intermediate Yearling Bull,2020
151,24,29,15,27,29,Holy Cross Iron Mike (D),2022-05-22,610.0,1217.0,1.91,16.4,1.35,0.09,3.2,39.0,0.06,2024-01-22,95,Intermediate Yearling Bull,2024
152,33,26,16,20,12,J Bar T's Xtreme (D),2016-08-06,534.0,1024.0,1.82,16.05,1.57,0.16,3.28,39.0,0.07,2018-01-22,95,Intermediate Yearling Bull,2018
153,22,27,17,26,27,Keltie of Highland Spice (D),2021-05-17,616.0,1208.0,1.88,16.15,1.34,0.2,3.32,35.0,0.06,2023-01-23,92,Intermediate Yearling Bull,2023
154,27,24,18,19,19,Trafalgar Jake (D),2020-05-29,605.0,1141.0,1.8,15.74,1.38,0.19,3.37,36.5,0.06,2022-01-24,88,Intermediate Yearling Bull,2022
155,13,20,30,23,28,Flatheads Ben Alter (D),2014-05-02,629.0,1209.0,1.84,14.81,1.22,0.14,4.13,42.0,0.07,2016-01-21,86,Intermediate Yearling Bull,2016
156,11,18,24,30,25,Silva's Double Harley (D),2017-07-08,562.0,1196.0,2.04,14.59,1.22,0.19,3.52,36.0,0.06,2019-01-21,83,Intermediate Yearling Bull,2019
157,14,19,21,28,26,"MES Ragnarok (AI,PV,D)",2022-06-06,595.0,1203.0,1.94,14.74,1.23,0.11,3.46,41.5,0.07,2024-01-22,82,Intermediate Yearling Bull,2024
158,17,25,8,29,30,Flatheads Tamdhu (D),2017-05-07,624.0,1272.0,1.96,15.94,1.25,0.12,2.58,38.0,0.06,2019-01-21,79,Intermediate Yearling Bull,2019
159,6,30,12,31,32,Trafalgar Killian (D),2021-05-28,605.0,1417.0,2.26,16.43,1.16,0.18,2.84,40.0,0.07,2023-01-23,79,Intermediate Yearling Bull,2023
160,23,21,19,13,17,CSF Roosevelt (D),2018-05-06,624.0,1120.0,1.71,15.01,1.34,0.26,3.42,40.0,0.06,2020-01-20,76,Intermediate Yearling Bull,2020
161,26,15,26,7,10,RAM Just Bob (D),2014-05-02,629.0,1016.0,1.54,14.02,1.38,0.18,3.57,33.0,0.05,2016-01-21,74,Intermediate Yearling Bull,2016
162,19,12,23,14,14,"CSF John Yuma (AI,D)",2017-06-22,578.0,1050.0,1.73,13.52,1.29,0.18,3.52,40.0,0.07,2019-01-21,68,Intermediate Yearling Bull,2019
163,25,22,4,15,20,SWM Swipe Right (D),2020-05-02,632.0,1146.0,1.73,15.59,1.36,0.12,2.23,37.0,0.06,2022-01-24,66,Intermediate Yearling Bull,2022
164,31,1,32,1,1,Colored Rain Loki (D),2014-06-30,570.0,546.0,0.87,8.49,1.55,0.12,4.42,24.0,0.04,2016-01-21,65,Intermediate Yearling Bull,2016
165,30,14,14,5,6,Holy Cross Jack Hammer (D),2022-05-20,612.0,936.0,1.45,13.96,1.49,0.09,3.03,36.0,0.06,2024-01-22,63,Intermediate Yearling Bull,2024
166,1,10,29,21,24,Kesabe's Walking Taco (D),2020-05-05,629.0,1192.0,1.82,12.1,1.02,0.43,4.08,37.0,0.06,2022-01-24,61,Intermediate Yearling Bull,2022
167,21,17,9,11,15,"Barclay of Pine Meadow (AI,D)",2017-05-10,621.0,1087.0,1.67,14.47,1.33,0.17,2.65,35.5,0.06,2019-01-21,58,Intermediate Yearling Bull,2019
168,16,13,10,17,16,"CBS Matrix (AI,D)",2018-06-07,592.0,1095.0,1.77,13.68,1.25,0.24,2.7,37.0,0.06,2020-01-20,56,Intermediate Yearling Bull,2020
169,2,16,2,32,31,"Mid-Lakes Tantor (AI,PV,D)",2023-07-15,558.0,1337.0,2.31,14.15,1.06,0.19,2.12,41.0,0.1,2025-01-23,52,Intermediate Yearling Bull,2025
170,10,8,25,9,9,JPEL'S Shauhn (D),2016-06-16,585.0,973.0,1.58,11.69,1.2,0.26,3.53,37.0,0.06,2018-01-22,52,Intermediate Yearling Bull,2018
171,18,6,20,4,4,LCT Peanut (D),2021-06-24,578.0,871.0,1.42,10.86,1.25,0.17,3.45,37.0,0.06,2023-01-23,48,Intermediate Yearling Bull,2023
172,9,9,6,24,11,"BDR Knox Your Socks Off (AI,D)",2021-08-21,520.0,1022.0,1.87,12.07,1.18,0.19,2.44,37.0,0.07,2023-01-23,48,Intermediate Yearling Bull,2023
173,5,11,1,16,21,"GRZ Blueberry Hill (AI,D)",2023-05-09,625.0,1153.0,1.76,13.31,1.15,0.2,1.43,40.0,0.04,2025-01-23,33,Intermediate Yearling Bull,2025
174,12,7,3,8,8,"Brigadoons Dukes Dutch (AI,D)",2018-06-26,573.0,948.0,1.57,11.6,1.22,0.08,2.13,32.0,0.06,2020-01-20,30,Intermediate Yearling Bull,2020
175,8,5,5,10,5,TJH Rocky (D),2021-08-05,536.0,918.0,1.62,10.8,1.18,0.1,2.28,33.0,0.06,2023-01-23,28,Intermediate Yearling Bull,2023
176,15,3,7,2,2,"Gryphon Dalmeny Iberis (PV,D)",2022-08-08,532.0,749.0,1.31,9.39,1.25,0.1,2.55,32.0,0.06,2024-01-22,27,Intermediate Yearling Bull,2024
177,4,4,11,6,7,"RSO Tahonta (PV,D)",2021-05-23,610.0,948.0,1.47,10.42,1.1,0.09,2.81,37.0,0.06,2023-01-23,25,Intermediate Yearling Bull,2023
178,3,2,13,3,3,BFL Jack (D),2021-06-24,578.0,844.0,1.37,9.08,1.08,0.1,2.91,33.0,0.06,2023-01-23,21,Intermediate Yearling Bull,2023
179,38,39,39,37,30,RTH Grissom (D),2018-04-17,643.0,1409.0,2.11,20.6,1.46,0.37,5.11,42.0,0.07,2020-01-20,153,Junior Yearling Bull,2020
180,35,38,38,32,28,Flatheads Deveron (D),2014-04-06,655.0,1385.0,2.04,19.45,1.4,0.21,4.71,39.0,0.06,2016-01-21,143,Junior Yearling Bull,2016
181,34,36,33,27,25,Skye High Cornerstone (D),2014-03-10,682.0,1348.0,1.9,17.92,1.33,0.21,4.03,45.0,0.07,2016-01-21,130,Junior Yearling Bull,2016
182,37,37,19,30,19,J Bar T's Myster Steel (D),2016-04-19,643.0,1287.0,1.92,18.13,1.41,0.25,3.35,44.0,0.07,2018-01-22,123,Junior Yearling Bull,2018
183,28,28,37,28,23,SC Finnegan (D),2017-03-23,669.0,1334.0,1.92,16.81,1.26,0.25,4.36,42.0,0.06,2019-01-21,121,Junior Yearling Bull,2019
184,17,30,32,39,38,Howling Springs Barron the Bull (D),2022-03-17,676.0,1488.0,2.13,17.07,1.15,0.3,4.0,41.0,0.06,2024-01-22,118,Junior Yearling Bull,2024
185,18,32,36,29,37,"STR Armageddon (ET,D)",2017-01-03,748.0,1486.0,1.92,17.46,1.17,0.19,4.29,40.0,0.05,2019-01-21,115,Junior Yearling Bull,2019
186,36,34,17,20,15,"STR Optimus Prime (AI,D)",2014-03-17,675.0,1253.0,1.78,17.68,1.41,0.14,3.33,35.0,0.05,2016-01-21,107,Junior Yearling Bull,2016
187,12,20,34,38,32,Spring Creek Easton (D),2016-04-20,642.0,1414.0,2.12,15.64,1.11,0.25,4.05,40.0,0.06,2018-01-22,104,Junior Yearling Bull,2018
188,33,29,22,18,18,Skye High Ego-Trip (D),2016-03-06,687.0,1274.0,1.78,16.88,1.32,0.3,3.55,38.0,0.06,2018-01-22,102,Junior Yearling Bull,2018
189,19,24,25,33,26,"Skye High Kodiak Pinch (PV,D)",2021-04-19,644.0,1363.0,2.04,15.93,1.17,0.27,3.65,43.0,0.07,2023-01-23,101,Junior Yearling Bull,2023
190,22,33,10,34,35,Holy Cross Black Jack (D),2018-03-24,667.0,1448.0,2.1,17.48,1.21,0.38,3.05,38.0,0.06,2020-01-20,99,Junior Yearling Bull,2020
191,10,25,26,36,34,CBS Clark Kent (D),2017-04-02,659.0,1432.0,2.1,15.93,1.11,0.18,3.7,40.0,0.06,2019-01-21,97,Junior Yearling Bull,2019
192,27,27,29,13,20,"LSK Zero (AI,D)",2014-02-01,719.0,1293.0,1.73,16.19,1.25,0.14,3.75,36.0,0.05,2016-01-21,96,Junior Yearling Bull,2016
193,23,31,13,26,33,"BRF E.E.E. (Triple E) (ET,D)",2016-01-26,727.0,1427.0,1.89,17.34,1.22,0.26,3.28,41.0,0.06,2018-01-22,93,Junior Yearling Bull,2018
194,39,35,9,10,6,"HSC Greyson (AI,D)",2018-04-03,657.0,1160.0,1.69,17.82,1.54,0.23,2.96,37.5,0.06,2020-01-20,93,Junior Yearling Bull,2020
195,25,21,27,19,14,"Almosta Farm's Oscar (PV,D)",2022-03-17,676.0,1253.0,1.78,15.66,1.25,0.17,3.71,41.0,0.06,2024-01-22,92,Junior Yearling Bull,2024
196,14,15,30,24,22,Maple Hill Cecil (D),2014-03-12,680.0,1331.0,1.88,15.21,1.14,0.16,3.78,42.0,0.06,2016-01-21,83,Junior Yearling Bull,2016
197,30,26,4,21,13,ARR Dharma's Leonidas (D),2016-03-30,663.0,1238.0,1.79,15.93,1.29,0.19,2.39,35.5,0.05,2018-01-22,81,Junior Yearling Bull,2018
198,26,23,20,12,16,"HHH Gold Kanyon (PV,D)",2021-02-13,709.0,1263.0,1.71,15.78,1.25,0.28,3.37,40.0,0.06,2023-01-23,81,Junior Yearling Bull,2023
199,8,16,11,35,36,"11M Ranch Fergus (PV,D)",2023-03-28,667.0,1448.0,2.1,15.36,1.06,0.21,3.07,39.0,0.08,2025-01-23,70,Junior Yearling Bull,2025
200,31,22,8,8,10,"Beyond Hope RW's Seamus (AI,D)",2021-03-02,692.0,1208.0,1.67,15.7,1.3,0.19,2.96,33.0,0.05,2023-01-23,69,Junior Yearling Bull,2023
201,6,12,35,14,24,EFH Maverick (D),2021-01-11,742.0,1339.0,1.74,14.04,1.05,0.09,4.23,40.0,0.05,2023-01-23,67,Junior Yearling Bull,2023
202,11,18,15,22,29,STR Homeland (D),2020-01-05,750.0,1407.0,1.81,15.56,1.11,0.28,3.3,40.0,0.05,2022-01-24,66,Junior Yearling Bull,2022
203,20,13,18,15,12,"HAN Onix (AI,PV,D)",2022-03-16,677.0,1230.0,1.74,14.59,1.19,0.22,3.35,39.5,0.06,2024-01-22,66,Junior Yearling Bull,2024
204,24,19,16,6,17,"STR Samuel (ET,PV,D)",2021-01-11,742.0,1263.0,1.63,15.6,1.24,0.21,3.33,40.0,0.05,2023-01-23,65,Junior Yearling Bull,2023
205,32,14,12,5,4,JCS Flint (D),2018-03-21,670.0,1118.0,1.59,14.81,1.32,0.42,3.1,35.0,0.05,2020-01-20,63,Junior Yearling Bull,2020
206,1,4,31,25,31,"HSC Jorge (ET,D)",2020-02-05,719.0,1412.0,1.89,12.09,0.86,0.27,3.9,40.0,0.06,2022-01-24,61,Junior Yearling Bull,2022
207,5,11,21,23,27,JBTs William The Head (D),2017-02-18,702.0,1366.0,1.87,14.04,1.03,0.23,3.37,38.5,0.05,2019-01-21,60,Junior Yearling Bull,2019
208,4,17,6,31,39,"Trafalgar Maddox (ET,PV,D)",2023-01-03,751.0,1508.0,1.94,15.41,1.02,0.24,2.78,40.0,0.08,2025-01-23,58,Junior Yearling Bull,2025
209,29,3,24,1,1,"MTC Fearghus of Tranquility (AI,PV,D)",2022-03-06,687.0,937.0,1.29,11.86,1.27,0.18,3.63,35.0,0.05,2024-01-22,57,Junior Yearling Bull,2024
210,9,5,28,11,5,Kesabe's Mayhem (D),2023-04-29,635.0,1126.0,1.69,12.32,1.09,0.3,3.74,38.0,0.03,2025-01-23,53,Junior Yearling Bull,2025
211,16,10,7,16,9,Flatheads Big Horn (D),2020-04-01,663.0,1205.0,1.74,13.89,1.15,0.28,2.81,39.0,0.06,2022-01-24,49,Junior Yearling Bull,2022
212,21,8,14,3,3,Dundonald's Cho Sona (D),2017-02-06,714.0,1095.0,1.46,13.3,1.21,0.19,3.29,35.0,0.05,2019-01-21,46,Junior Yearling Bull,2019
213,13,9,1,7,8,"SWM American Creed (ET,PV,D)",2023-03-02,693.0,1197.0,1.66,13.36,1.12,0.17,1.93,37.0,0.03,2025-01-23,30,Junior Yearling Bull,2025
214,2,1,23,4,11,"STR Dawson (ET,PV,D)",2023-01-11,743.0,1227.0,1.58,11.43,0.93,0.18,3.62,44.0,0.03,2025-01-23,30,Junior Yearling Bull,2025
215,3,7,2,17,21,GNH Saint Valentine (D),2023-02-15,708.0,1304.0,1.77,12.73,0.98,0.18,2.18,41.0,0.05,2025-01-23,29,Junior Yearling Bull,2025
216,7,6,3,9,7,"MHH Executive Order (AI,D)",2020-03-27,668.0,1179.0,1.69,12.42,1.05,0.14,2.37,39.0,0.06,2022-01-24,25,Junior Yearling Bull,2022
217,15,2,5,2,2,SFF Quartermaster (D),2022-04-05,657.0,993.0,1.44,11.44,1.15,0.15,2.71,33.0,0.05,2024-01-22,24,Junior Yearling Bull,2024
218,36,38,25,25,30,FPH Jasper (D),2015-04-02,1026.0,1831.0,1.74,24.69,1.35,0.24,4.63,36.5,0.04,2018-01-22,124,Senior Bull,2018
219,33,34,32,20,15,STR Special Edition (D),2015-04-27,1001.0,1715.0,1.66,21.01,1.23,0.58,4.91,40.0,0.04,2018-01-22,119,Senior Bull,2018
220,20,31,38,23,27,Basswood4 of Dundonald (D),2013-03-24,1033.0,1810.0,1.7,20.13,1.11,0.27,5.36,39.0,0.04,2016-01-21,112,Senior Bull,2016
221,16,33,28,35,38,J Bar T's Myster Steel (D),2016-04-19,1007.0,1955.0,1.89,20.99,1.07,0.58,4.87,44.0,0.04,2019-01-21,112,Senior Bull,2019
222,34,37,24,13,23,Finley Falls Duncan (D),2015-01-09,1109.0,1776.0,1.56,22.2,1.25,0.35,4.44,41.5,0.04,2018-01-22,108,Senior Bull,2018
223,14,23,33,32,22,Shat Acres Raisin Cain (D),2013-06-01,964.0,1774.0,1.79,18.67,1.05,0.19,4.99,42.0,0.04,2016-01-21,102,Senior Bull,2016
224,35,36,20,9,14,Almosta Farm's Brogan (D),2015-03-17,1042.0,1632.0,1.52,21.84,1.34,0.18,4.09,43.0,0.04,2018-01-22,100,Senior Bull,2018
225,30,25,37,7,10,Twinflower Joseph (D),2013-04-07,1019.0,1578.0,1.5,18.88,1.2,0.16,5.35,43.0,0.04,2016-01-21,99,Senior Bull,2016
226,27,20,22,29,11,"Summit Ranch Fritz (ET,D)",2017-09-02,870.0,1595.0,1.78,18.33,1.15,0.39,4.25,38.0,0.04,2020-01-20,98,Senior Bull,2020
227,7,18,36,36,35,STR Revolution (D),2016-05-29,967.0,1902.0,1.92,18.29,0.96,0.41,5.34,45.25,0.05,2019-01-21,97,Senior Bull,2019
228,28,32,26,10,19,"BRF Bernie (ET,D)",2013-01-10,1106.0,1742.0,1.53,20.54,1.18,0.16,4.75,38.0,0.03,2016-01-21,96,Senior Bull,2016
229,13,27,29,27,33,SC Finnegan (D),2017-03-23,1033.0,1875.0,1.77,19.55,1.04,0.4,4.87,45.0,0.04,2020-01-20,96,Senior Bull,2020
230,23,30,30,12,24,"STR Armageddon (ET,D)",2017-01-03,1112.0,1780.0,1.56,19.88,1.12,0.33,4.88,40.0,0.04,2020-01-20,95,Senior Bull,2020
231,10,24,27,31,31,Spring Creek Easton (D),2016-04-20,1006.0,1837.0,1.78,18.8,1.02,0.39,4.84,42.0,0.04,2019-01-21,92,Senior Bull,2019
232,22,26,31,11,18,"BRF E.E.E. (Triple E) (ET,D)",2016-01-26,1091.0,1739.0,1.55,19.41,1.12,0.34,4.89,43.5,0.04,2019-01-21,90,Senior Bull,2019
233,18,15,35,22,13,Clearwater's Ferb (D),2013-07-12,923.0,1623.0,1.7,17.65,1.09,0.3,5.3,38.0,0.04,2016-01-21,90,Senior Bull,2016
234,11,21,18,38,26,"Howling Springs King Maker  (ET,D)",2019-11-12,804.0,1791.0,2.17,18.36,1.03,0.32,4.09,45.0,0.06,2022-01-24,88,Senior Bull,2022
235,37,35,5,6,9,"Defiance of Dundonald (AI,D)",2015-04-25,1003.0,1535.0,1.48,21.61,1.41,0.25,2.61,43.0,0.04,2018-01-22,83,Senior Bull,2018
236,24,29,9,19,20,Highland Spice Hickory (D),2019-04-08,1022.0,1743.0,1.66,19.74,1.13,0.24,3.31,43.0,0.04,2022-01-24,81,Senior Bull,2022
237,12,16,34,15,16,"STR Burning It Down (ET,D)",2017-04-06,1019.0,1723.0,1.64,17.77,1.03,0.25,5.28,46.0,0.05,2020-01-20,77,Senior Bull,2020
238,8,19,19,30,29,"STR Encore (ET,PV,D)",2020-05-04,994.0,1822.0,1.78,18.31,1.0,0.34,4.09,42.0,0.04,2023-01-23,76,Senior Bull,2023
239,19,28,13,14,25,JBTs William The Head (D),2017-02-18,1066.0,1790.0,1.63,19.73,1.1,0.25,3.56,40.0,0.04,2020-01-20,74,Senior Bull,2020
240,9,22,7,33,28,Trafalgar Blain (D),2013-06-06,959.0,1813.0,1.84,18.49,1.02,0.19,3.11,43.0,0.04,2016-01-21,71,Senior Bull,2016
241,17,6,23,24,7,Kesabe's Homebrew (D),2021-10-26,818.0,1468.0,1.73,15.83,1.08,0.25,4.37,39.0,0.05,2024-01-22,70,Senior Bull,2024
242,4,8,17,37,21,"WL Lincoln (ET,D)",2022-09-12,864.0,1764.0,1.98,16.5,0.94,0.4,3.68,44.0,0.1,2025-01-23,66,Senior Bull,2025
243,32,13,14,5,6,RAM Zander (D),2013-06-26,939.0,1397.0,1.43,17.17,1.23,0.21,3.56,38.0,0.04,2016-01-21,64,Senior Bull,2016
244,6,14,10,34,32,Trafalgar Killian (D),2021-05-28,969.0,1840.0,1.85,17.48,0.95,0.25,3.42,40.0,0.04,2024-01-22,64,Senior Bull,2024
245,3,12,21,28,34,Howling Springs Barron the Bull (D),2022-03-17,1043.0,1891.0,1.77,17.1,0.9,0.26,4.22,46.0,0.06,2025-01-23,64,Senior Bull,2025
246,31,9,3,18,4,"Gryphon Epsilon Rampion (PV,D)",2022-11-22,793.0,1360.0,1.65,16.52,1.21,0.19,2.41,40.0,0.03,2025-01-23,61,Senior Bull,2025
247,21,10,11,17,8,TJH Big Chungus (D),2022-09-10,866.0,1474.0,1.64,16.57,1.12,0.28,3.43,38.0,0.03,2025-01-23,59,Senior Bull,2025
248,5,17,16,21,36,"Howling Springs Natural Mystic (ET,PV,D)",2022-01-01,1118.0,1925.0,1.68,18.01,0.94,0.27,3.67,45.0,0.04,2025-01-23,59,Senior Bull,2025
249,15,11,8,16,12,Silva's Rockstar (D),2019-06-28,941.0,1596.0,1.64,17.03,1.07,0.36,3.3,43.0,0.05,2022-01-24,50,Senior Bull,2022
250,26,5,15,3,5,"MTC Fearghus of Tranquility (AI,PV,D)",2022-03-06,1054.0,1368.0,1.25,15.76,1.15,0.22,3.66,35.0,0.02,2025-01-23,49,Senior Bull,2025
251,38,2,4,2,2,PGH Jonny Walker (D),2020-11-05,809.0,923.0,1.08,13.24,1.43,0.11,2.47,37.0,0.05,2023-01-23,46,Senior Bull,2023
252,25,3,12,4,3,"RSO Tahonta (PV,D)",2021-05-23,974.0,1311.0,1.29,14.85,1.13,0.11,3.55,41.5,0.04,2024-01-22,44,Senior Bull,2024
253,1,7,1,26,37,Viking Fold Haakon (D),2019-02-07,1082.0,1943.0,1.75,16.16,0.83,0.31,2.0,44.0,0.04,2022-01-24,35,Senior Bull,2022
254,29,1,2,1,1,CRR Antarctic Rebel (D),2015-06-24,943.0,821.0,0.82,9.79,1.19,0.11,2.38,33.5,0.04,2018-01-22,33,Senior Bull,2018
255,2,4,6,8,17,"STR Homeland (PV,D)",2020-01-05,1114.0,1724.0,1.5,15.42,0.89,0.32,3.08,40.0,0.04,2023-01-23,20,Senior Bull,2023
